symbol,fundingTime,fundingRate,markPrice
BTCUSDT,2026-02-12 08:00:00.001,0.00003499,67200.19716739
BTCUSDT,2026-02-12 16:00:00.001,-0.00001728,67103.70000000
BTCUSDT,2026-02-13 00:00:00.007,0.00005834,66243.20000000
BTCUSDT,2026-02-13 08:00:00.003,0.00000716,66184.59749275
BTCUSDT,2026-02-13 16:00:00.005,-0.00001274,68652.40000000
BTCUSDT,2026-02-14 00:00:00.002,0.00001291,68853.38406522
BTCUSDT,2026-02-14 08:00:00.004,0.00003174,69182.52364493
BTCUSDT,2026-02-14 16:00:00.002,-0.00003094,69754.10000000
BTCUSDT,2026-02-15 00:00:00.000,-0.00001068,69795.40000000
BTCUSDT,2026-02-15 08:00:00.002,0.00004664,70784.00000000
BTCUSDT,2026-02-15 16:00:00.000,-0.00002371,69068.10000000
BTCUSDT,2026-02-16 00:00:00.001,0.00002659,68798.30000000
BTCUSDT,2026-02-16 08:00:00.003,-0.00003277,68554.37742754
BTCUSDT,2026-02-16 16:00:00.000,-0.00004112,67505.50000000
BTCUSDT,2026-02-17 00:00:00.008,0.00005883,68862.55130435
BTCUSDT,2026-02-17 08:00:00.001,0.00002672,68353.40000000
BTCUSDT,2026-02-17 16:00:00.002,0.00005077,67363.50000000
BTCUSDT,2026-02-18 00:00:00.000,0.00003215,67475.90000000
BTCUSDT,2026-02-18 08:00:00.000,-0.00000141,68078.40000000
BTCUSDT,2026-02-18 16:00:00.011,0.00003604,67672.63710870
BTCUSDT,2026-02-19 00:00:00.013,-0.00004014,66430.40573913
BTCUSDT,2026-02-19 08:00:00.000,0.00002686,67182.87271014
BTCUSDT,2026-02-19 16:00:00.003,-0.00003052,66367.72373188
BTCUSDT,2026-02-20 00:00:00.000,0.00005365,66974.00000000
